ZHANG Yuqun, Assistant Professor, Computer Science and Engineering
ZHANG Zhen, Associate Professor, Mathematics
ZHANG Zheng, Adjunct Professor, School of Medicine
ZHANG Zhenguo, Associate Professor, Earth and Space Sciences
ZHANG Zhiqian, Research Assistant Professor, School of Medicine
ZHANG Zuotai, Director, Technology Transfer Center
ZHANG Fengwei, Associate Professor, Computer Science and Engineering
ZHANG Jianguo, Professor, Computer Science and Engineering
ZHANG Yu, Associate Professor, Computer Science and Engineering
ZHAO Baisong, Research Professor, School of Innovation and Entrepreneurship
ZHAO Bin, Assistant Professor, Chemistry
ZHAO Cong, Research Assistant Professor, School of Microelectronics
ZHAO Fei, Lecturer of PE, Sports Center
ZHAO Fu, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
ZHAO Jianhua, Deputy Director, Research Center for Higher Education
ZHAO Junliang, Research Assistant Professor, Environmental Science and Engineering
ZHAO Tianshou, Director of the Energy Institute for Carbon Neutrality;, Mechanical and Energy Engineering
ZHAO Xinyan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHAO Yipin, Lecturer of PE, Sports Center
ZHAO Yonghua, Assistant Professor, Mechanical and Energy Engineering
ZHAO Yue, Associate Professor, Physics
ZHAO Yusheng, Chair Professor, Physics
ZHENG Chunmiao, Fellow, American Geophysical Union
ZHENG Feng, Associate Professor, Computer Science and Engineering
ZHENG Fengfeng, Research Assistant Professor, Ocean Science and Engineering
ZHENG Guomao, Assistant Professor, Environmental Science and Engineering
ZHENG Jiahao, Research Assistant Professor, Earth and Space Sciences
ZHENG Yan, Associate Director, SUSTech Office of Research
ZHENG Yi, Associate Dean, Environmental Science and Engineering
ZHENG Zhiping, Department Chair, Chemistry
Zhensheng Zhang, Associate Researcher, Institute for Quanfum Science and Engineering
Zhong Jinhui, Research Associate Scientist, Materials Science and Engineering
ZHONG Yi, Research Assistant Professor, Ocean Science and Engineering
ZHOU Bo, Associate Professor, Mechanics and Aerospace Engineering
Zhou Ding, Assistant Professor, School of System Design and Intelligent Manufacturing
ZHOU Hao, Dean of College of Business, College of Business
ZHOU Limin, Associate Dean of School of System Design and Intelligent Manufacturing, School of System Design and Intelligent Manufacturing
Zhou Mingcong, Associate Professor, Art Center
ZHOU Ti, Assistant Professor, Department of Finance
ZHOU Tingyao, Research Assistant Professor, College of Engineering
Zhou Xiumei, Lecturer, Centre for Humanities
ZHOU Youping, Associate Professor, Ocean Science and Engineering
ZHOU YouYun, Associate Professor, Chemistry
ZHOU Zhiyuan, Research Assistant Professor, Ocean Science and Engineering
ZHU Danling, , Biology
ZHU Jinlong, Research Scientist, Physics
ZHU Lei, Assistant Professor, Environmental Science and Engineering
ZHU Qiang, Chair Professor, Mechanical and Energy Engineering
ZHU Yifei, Tenure-track Assistant Professor, Mathematics
ZHU Yuan, Research Professor, School of Microelectronics
ZHU Yuanmin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHUANG Xiaoru, Research Assistant Professor, Mechanics and Aerospace Engineering
ZOU Guang, Assistant Professor, Ocean Science and Engineering
ZU Jiahe, Professor, Political Education and Research Center
